The Vinery,51.434085,-0.6131399
The Willows Riverside Park,51.4860706,-0.6571058
Titness Park,51.4108924,-0.6304447
Wayside Riding Stables,51.4893537,-0.6897777
Wild Boar Enclosure,51.4468452,-0.5890072
Wilderness,51.430558,-0.608632
Withy Bed,51.4491843,-0.6035965
Woodside Farm,51.4530645,-0.5910338
Worldsend Gate,51.4081341,-0.6141991
Bray Wick,51.5069253,-0.7110987
Clewer Green,51.4727744,-0.6362311
Clewer New Town,51.4769646,-0.6256456
Cox Green,51.5054503,-0.7531772
Dedworth,51.4780872,-0.6451164
Fishery,51.5177712,-0.7059329
Furze Platt,51.5338775,-0.7355209
Highway,51.5207221,-0.7540287
North Ascot,51.418548,-0.6890065
North Town,51.535514,-0.720527
St Marks,51.5255328,-0.747406
Ascot,51.4101286,-0.6680194
Maidenhead,51.5237929,-0.7189899
Beggar's Bush,51.4063554,-0.638369
Bisham,51.559344,-0.7750834
Blacknest,51.4089897,-0.6244023
Bray,51.5081925,-0.6988429
Cheapside,51.4180412,-0.6446199
Cookham,51.5604367,-0.7093311
Cookham Dean,51.5614551,-0.7461153
Cookham Rise,51.5571123,-0.7264114
Fifield,51.483463,-0.695051
Holyport,51.4923672,-0.71397
Hurley,51.5455044,-0.8101712
Hythe End,51.4432437,-0.5378477
Knowl Hill,51.5066021,-0.8150745
Littlewick Green,51.5137541,-0.7903439
Oakley Green,51.4795939,-0.6642872
Old Windsor,51.4581397,-0.5808113
South Ascot,51.3986846,-0.6698776
Sunningdale,51.3944673,-0.6324407
Sunninghill,51.4015129,-0.6559139
Sunnymeads,51.4686574,-0.5603364
The Village,51.4423224,-0.6263609
Waltham St Lawrence,51.4833379,-0.8067539
White Waltham,51.4908971,-0.7683543
Wraysbury,51.4574568,-0.5606471
